Image,Similarity (%),Remark
09B21612_ss.png,57.11,57.11
09B21430_ss.png,51.18,51.18
50M23163_ss.png,51.18,51.18
09B21488_ss.png,51.18,51.18
50M23182_ss.png,51.18,51.18
09B21494_ss.png,51.18,51.18
50M23180_ss.png,51.18,51.18
09B21420_ss.png,51.18,51.18
09B21551_ss.png,51.18,51.18
50M23188_ss.png,51.18,51.18
50M23177_ss.png,51.18,51.18
50M23169_ss.png,51.18,51.18
09B21428_ss.png,51.18,51.18
09B21524_ss.png,51.18,51.18
50M23167_ss.png,51.18,51.18
50M23175_ss.png,51.18,51.18
50M24159_ss.png,51.18,51.18
Mentari_ss.png,51.18,51.18
09502367_ss.png,51.18,51.18
09B21531_ss.png,51.18,51.18
50M23154_ss.png,51.18,51.18
09B21507_ss.png,51.18,51.18
09B21442_ss.png,51.18,51.18
50M23172_ss.png,51.18,51.18
09502388_ss.png,51.18,51.18
09B21478_ss.png,51.18,51.18
50M24131_ss.png,51.18,51.18
50M23181_ss.png,51.18,51.18
79D11111_ss.png,51.18,51.18
50M24139_ss.png,51.18,51.18
50M23164_ss.png,51.18,51.18
CHENRUI_ss.png,51.18,51.18
wubin_ss.png,51.18,51.18
50M23185_ss.png,51.18,51.18
50M23713_ss.png,51.18,51.18
09B21539_ss.png,51.18,51.18
50M23178_ss.png,51.18,51.18
50M23174_ss.png,51.18,51.18
09B21448_ss.png,51.18,51.18
09B21409_ss.png,50.92,50.92
50M24137_ss.png,27.76,27.76
09B21600_ss.png,24.82,24.82
