Image,Similarity (%),Remark
09B21488_ss.png,91.49,91.49
09B21494_ss.png,91.49,91.49
09B21420_ss.png,91.49,91.49
09B21551_ss.png,91.49,91.49
09B21428_ss.png,91.49,91.49
09B21524_ss.png,91.49,91.49
09B21507_ss.png,91.49,91.49
09B21478_ss.png,91.49,91.49
50M24139_ss.png,91.49,91.49
50M24137_ss.png,91.49,91.49
09B21539_ss.png,91.49,91.49
09B21448_ss.png,87.23,87.23
09B21442_ss.png,82.83,82.83
09B21612_ss.png,80.61,80.61
50M24159_ss.png,79.79,79.79
50M24131_ss.png,78.70,78.70
09B21600_ss.png,31.31,31.31
09B21531_ss.png,23.40,23.40
09B21430_ss.png,19.15,19.15
